Symbol: ZWK22,,,Study: OPINT
Date Time,Close,Change,Open Interest
25/03/2022 2:22,1085.75,0.25,
25/03/2022 2:23,1084,-1.75,
25/03/2022 2:25,1083.25,-0.75,
25/03/2022 2:26,1084,0.75,
25/03/2022 2:28,1083.25,-0.75,
25/03/2022 2:30,1083.5,0.25,
25/03/2022 2:31,1084.25,0.75,
25/03/2022 2:33,1082.75,-1.5,
25/03/2022 2:36,1082.75,0,
25/03/2022 2:37,1082,-0.75,
25/03/2022 2:38,1081,-1,
25/03/2022 2:39,1081,0,
25/03/2022 2:40,1081.75,0.75,
25/03/2022 2:42,1082.25,0.5,
25/03/2022 2:44,1082,-0.25,
25/03/2022 2:45,1081.75,-0.25,
25/03/2022 2:47,1081.5,-0.25,
25/03/2022 2:48,1081.75,0.25,
25/03/2022 2:50,1081.75,0,
25/03/2022 2:51,1080.5,-1.25,
25/03/2022 2:52,1079.5,-1,
25/03/2022 2:53,1080.75,1.25,
25/03/2022 2:55,1080.5,-0.25,
25/03/2022 2:56,1081,0.5,
25/03/2022 2:58,1079,-2,
25/03/2022 2:59,1080,1,
25/03/2022 3:00,1079.75,-0.25,
25/03/2022 3:01,1080.25,0.5,
25/03/2022 3:02,1079.5,-0.75,
25/03/2022 3:03,1080,0.5,
25/03/2022 3:04,1080.25,0.25,
25/03/2022 3:06,1079.75,-0.5,
25/03/2022 3:07,1079,-0.75,
25/03/2022 3:08,1079.25,0.25,
25/03/2022 3:09,1078,-1.25,
25/03/2022 3:10,1076,-2,
25/03/2022 3:11,1076.25,0.25,
25/03/2022 3:12,1077,0.75,
25/03/2022 3:13,1078,1,
25/03/2022 3:14,1078,0,
25/03/2022 3:15,1078.5,0.5,
25/03/2022 3:16,1078.25,-0.25,
25/03/2022 3:17,1077.5,-0.75,
25/03/2022 3:18,1079,1.5,
25/03/2022 3:19,1079.25,0.25,
25/03/2022 3:20,1077.25,-2,
25/03/2022 3:21,1078.25,1,
25/03/2022 3:22,1077.25,-1,
25/03/2022 3:23,1078.75,1.5,
25/03/2022 3:24,1075.75,-3,
25/03/2022 3:25,1075.25,-0.5,
25/03/2022 3:26,1074,-1.25,
25/03/2022 3:27,1073,-1,
25/03/2022 3:28,1073.5,0.5,
25/03/2022 3:29,1072.75,-0.75,
25/03/2022 3:30,1075,2.25,
25/03/2022 3:31,1073.75,-1.25,
25/03/2022 3:32,1072.75,-1,
25/03/2022 3:33,1073.75,1,
25/03/2022 3:34,1073,-0.75,
25/03/2022 3:35,1074,1,
25/03/2022 3:36,1075.75,1.75,
25/03/2022 3:37,1075.75,0,
25/03/2022 3:38,1073,-2.75,
25/03/2022 3:39,1074.25,1.25,
25/03/2022 3:40,1074.25,0,
25/03/2022 3:41,1073,-1.25,
25/03/2022 3:42,1072.5,-0.5,
25/03/2022 3:43,1070.75,-1.75,
25/03/2022 3:44,1073,2.25,
25/03/2022 3:45,1073,0,
25/03/2022 3:46,1071.5,-1.5,
25/03/2022 3:47,1072.75,1.25,
25/03/2022 3:48,1071,-1.75,
25/03/2022 3:50,1070.75,-0.25,
25/03/2022 3:52,1072.5,1.75,
25/03/2022 3:53,1071.75,-0.75,
25/03/2022 3:56,1072.5,0.75,
25/03/2022 3:57,1071.5,-1,
25/03/2022 3:58,1072,0.5,
25/03/2022 4:00,1071.25,-0.75,
25/03/2022 4:01,1072.25,1,
25/03/2022 4:02,1072.25,0,
25/03/2022 4:04,1071.5,-0.75,
25/03/2022 4:05,1071.5,0,
25/03/2022 4:06,1070.5,-1,
25/03/2022 4:07,1071.25,0.75,
25/03/2022 4:10,1072.25,1,
25/03/2022 4:11,1072.25,0,
25/03/2022 4:12,1070.5,-1.75,
25/03/2022 4:13,1071,0.5,
25/03/2022 4:14,1071.25,0.25,
25/03/2022 4:15,1070.75,-0.5,
25/03/2022 4:16,1071,0.25,
25/03/2022 4:18,1069.75,-1.25,
25/03/2022 4:19,1070.25,0.5,
25/03/2022 4:20,1071,0.75,
25/03/2022 4:21,1071.5,0.5,
25/03/2022 4:22,1074.5,3,
25/03/2022 4:23,1074.5,0,
25/03/2022 4:25,1072,-2.5,
25/03/2022 4:27,1073.25,1.25,
25/03/2022 4:28,1072.5,-0.75,
25/03/2022 4:29,1072.25,-0.25,
25/03/2022 4:30,1071,-1.25,
25/03/2022 4:31,1071.75,0.75,
25/03/2022 4:32,1072.25,0.5,
25/03/2022 4:33,1072.25,0,
25/03/2022 4:34,1073.25,1,
25/03/2022 4:35,1073.5,0.25,
25/03/2022 4:36,1071.25,-2.25,
25/03/2022 4:37,1072,0.75,
25/03/2022 4:38,1074.25,2.25,
25/03/2022 4:39,1076,1.75,
25/03/2022 4:40,1075.25,-0.75,
25/03/2022 4:41,1076,0.75,
25/03/2022 4:42,1076.25,0.25,
25/03/2022 4:43,1075.75,-0.5,
25/03/2022 4:44,1074.75,-1,
25/03/2022 4:45,1075.75,1,
25/03/2022 4:46,1075.25,-0.5,
25/03/2022 4:47,1077.5,2.25,
25/03/2022 4:48,1075.75,-1.75,
25/03/2022 4:51,1077,1.25,
25/03/2022 4:52,1076.25,-0.75,
25/03/2022 4:54,1075.25,-1,
25/03/2022 4:55,1075.75,0.5,
25/03/2022 4:56,1075.5,-0.25,
25/03/2022 4:58,1075,-0.5,
25/03/2022 4:59,1074.75,-0.25,
25/03/2022 5:00,1075,0.25,
25/03/2022 5:01,1075,0,
25/03/2022 5:03,1075.25,0.25,
